Net generation for all sectors,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2022&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,
Middle Atlantic : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MAT-99.A,482
Middle Atlantic : other biomass,thousand megawatthours,ELEC.GEN.WAS-MAT-99.A,3347
Middle Atlantic : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MAT-99.A,-1442
Middle Atlantic : other,thousand megawatthours,ELEC.GEN.OTH-MAT-99.A,2377
Middle Atlantic : all solar,thousand megawatthours,ELEC.GEN.TSN-MAT-99.A,12304
Middle Atlantic : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MAT-99.A,8163
Middle Atlantic : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MAT-99.A,4141
Middle Atlantic : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MAT-99.A,4141
Middle Atlantic : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MAT-99.A,--
New Jersey,,ELEC.GEN..A,
New Jersey : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NJ-99.A,64229
New Jersey : coal,thousand megawatthours,ELEC.GEN.COW-NJ-99.A,0
New Jersey : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NJ-99.A,42
New Jersey : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NJ-99.A,0
New Jersey : natural gas,thousand megawatthours,ELEC.GEN.NG-NJ-99.A,33056
New Jersey : other gases,thousand megawatthours,ELEC.GEN.OOG-NJ-99.A,161
New Jersey : nuclear,thousand megawatthours,ELEC.GEN.NUC-NJ-99.A,28335
New Jersey : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NJ-99.A,12
New Jersey : other renewables,thousand megawatthours,ELEC.GEN.AOR-NJ-99.A,2233
New Jersey : wind,thousand megawatthours,ELEC.GEN.WND-NJ-99.A,18
New Jersey : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NJ-99.A,1544
New Jersey : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NJ-99.A,1544
New Jersey : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NJ-99.A,--
New Jersey : geothermal,thousand megawatthours,ELEC.GEN.GEO-NJ-99.A,--
New Jersey : biomass,thousand megawatthours,ELEC.GEN.BIO-NJ-99.A,671
New Jersey : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NJ-99.A,--
New Jersey : other biomass,thousand megawatthours,ELEC.GEN.WAS-NJ-99.A,671
New Jersey : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NJ-99.A,-165
New Jersey : other,thousand megawatthours,ELEC.GEN.OTH-NJ-99.A,554
New Jersey : all solar,thousand megawatthours,ELEC.GEN.TSN-NJ-99.A,4710
New Jersey : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NJ-99.A,3166
New Jersey : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NJ-99.A,1544
New Jersey : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NJ-99.A,1544
New Jersey : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NJ-99.A,--
New York,,ELEC.GEN..A,
New York : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NY-99.A,124040
New York : coal,thousand megawatthours,ELEC.GEN.COW-NY-99.A,0
New York : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NY-99.A,413
New York : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NY-99.A,--
New York : natural gas,thousand megawatthours,ELEC.GEN.NG-NY-99.A,58428
New York : other gases,thousand megawatthours,ELEC.GEN.OOG-NY-99.A,0
New York : nuclear,thousand megawatthours,ELEC.GEN.NUC-NY-99.A,27525
New York : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NY-99.A,28434
New York : other renewables,thousand megawatthours,ELEC.GEN.AOR-NY-99.A,8663
New York : wind,thousand megawatthours,ELEC.GEN.WND-NY-99.A,4800
New York : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NY-99.A,2236
New York : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NY-99.A,2236
New York : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NY-99.A,--
New York : geothermal,thousand megawatthours,ELEC.GEN.GEO-NY-99.A,--
New York : biomass,thousand megawatthours,ELEC.GEN.BIO-NY-99.A,1627
New York : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NY-99.A,217
New York : other biomass,thousand megawatthours,ELEC.GEN.WAS-NY-99.A,1410
New York : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NY-99.A,-372
New York : other,thousand megawatthours,ELEC.GEN.OTH-NY-99.A,949
New York : all solar,thousand megawatthours,ELEC.GEN.TSN-NY-99.A,6205
New York : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NY-99.A,3968
New York : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NY-99.A,2236
New York : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NY-99.A,2236
New York : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NY-99.A,--
Pennsylvania,,ELEC.GEN..A,
Pennsylvania : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-PA-99.A,235925
Pennsylvania : coal,thousand megawatthours,ELEC.GEN.COW-PA-99.A,12835
Pennsylvania : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-PA-99.A,49
Pennsylvania : petroleum coke,thousand megawatthours,ELEC.GEN.PC-PA-99.A,0
Pennsylvania : natural gas,thousand megawatthours,ELEC.GEN.NG-PA-99.A,139256
Pennsylvania : other gases,thousand megawatthours,ELEC.GEN.OOG-PA-99.A,578
Pennsylvania : nuclear,thousand megawatthours,ELEC.GEN.NUC-PA-99.A,75305
Pennsylvania : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-PA-99.A,2783
Pennsylvania : other renewables,thousand megawatthours,ELEC.GEN.AOR-PA-99.A,5151
Pennsylvania : wind,thousand megawatthours,ELEC.GEN.WND-PA-99.A,3258
Pennsylvania : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-PA-99.A,361
Pennsylvania : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-PA-99.A,361
Pennsylvania : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-PA-99.A,--
Pennsylvania : geothermal,thousand megawatthours,ELEC.GEN.GEO-PA-99.A,--
Pennsylvania : biomass,thousand megawatthours,ELEC.GEN.BIO-PA-99.A,1532
Pennsylvania : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-PA-99.A,265
Pennsylvania : other biomass,thousand megawatthours,ELEC.GEN.WAS-PA-99.A,1266
Pennsylvania : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-PA-99.A,-905
Pennsylvania : other,thousand megawatthours,ELEC.GEN.OTH-PA-99.A,874
Pennsylvania : all solar,thousand megawatthours,ELEC.GEN.TSN-PA-99.A,1389
Pennsylvania : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-PA-99.A,1029
